,FosfatodiamónicoUSD/t,SuperfosfatosimpleUSD/t,UreagranuladaUSD/t,"2,4D50%salaminaUSD/L",Atrazina90DGUSD/L,Glifosato54%USD/L,MaízUSD/t,SojaUSD/t,SemillaMaízAltatecnologíaUSD/40kg,Mes
2023-12,1020.0,480.0,925.0,4.3,11.0,7.8,197.0263158,359.3684211,190.0,2023-12
2024-01,1020.0,480.0,920.0,4.3,11.0,7.8,191.8636364,333.2272727,190.0,2024-01
2024-02,960.0,445.0,760.0,4.3,11.0,7.0,175.8947368,302.5263158,210.0,2024-02
2024-03,910.0,506.0,680.0,4.3,11.0,6.6,173.3157895,298.2631579,210.0,2024-03
2024-04,946.0,386.1,594.0,4.3,12.8,5.4,178.42,289.9,175.0,2024-04
2024-05,890.0,450.0,555.0,4.3,9.4,5.3,183.8636364,312.1363636,175.0,2024-05
2024-06,890.0,440.0,581.0,4.3,9.8,4.9,180.8705882,318.9117647,175.0,2024-06
2024-07,890.0,440.0,583.0,4.3,9.8,4.9,173.2681818,312.5,175.0,2024-07
2024-08,890.0,440.0,559.0,4.3,10.5,4.9,173.3636364,307.9545455,175.0,2024-08
2024-09,890.0,430.0,515.25,4.3,7.5,4.5,177.4,314.8636364,175.0,2024-09
2024-10,870.0,410.0,539.6666667,4.3,10.0,4.5,186.9772727,317.55,175.0,2024-10
2024-11,840.0,400.0,524.75,4.3,10.0,4.5,184.9,301.0,175.0,2024-11
2024-12,840.0,390.0,494.75,4.3,10.0,4.4,181.71,285.65,175.0,2024-12
2025-01,820.0,380.0,514.2,4.3,10.0,4.4,199.0681818,284.3409091,175.0,2025-01
2025-02,810.0,380.0,547.0,4.3,9.0,4.4,207.05,308.15,175.0,2025-02
2025-03,810.0,380.0,533.25,4.3,9.0,4.4,196.3333333,309.1944444,175.0,2025-03
